State,URL,load_type,Type,Folder_MAIN,Base,FILE_NAME,PATH,FILE_TYPE,delimiter,primary_key,trans_id,date,date_format,committee_cd,committee_type,commitee_name,trans_type,trans_subtype,contrib_commitee_cd,contrib_org,contrib_full_name,contrib_prefix,contrib_suffix,contrib_first,contrib_middle,contrib_last,contrib_occupation,contrib_employer,contrib_addr_line_1,contrib_addr_line_2,contrib_city,contrib_state,contrib_zip,amount,committee_state
IA,https://mydata.iowa.gov/api/views/smfg-ds7h/rows.csv?accessType=DOWNLOAD,download,CSV,,,,,,",",,0,1,%m/%d/%Y,2,,3,4,,5,6,,,,7,8,9,,,10,11,12,13,14,15,IA
TX,https://www.ethics.state.tx.us/data/search/cf/TEC_CF_CSV.zip,download,ZIP,TEC_CF_CSV,contribs_,,,CSV,",",,9,10,%Y%m%d,6,7,8,0,15,,16,,20,18,19,,17,28,29,,,22,23,26,11,TX
