date,count,amount
2000-05-20 00:00:00,239,19375.5
2000-05-21 00:00:00,27,6995.0
2000-05-22 00:00:00,515,180800.9
2000-05-23 00:00:00,333,303020.6
2000-05-24 00:00:00,271,160397.0
2000-05-25 00:00:00,305,158771.41000000006
2000-05-26 00:00:00,1148,542174.51
2000-05-27 00:00:00,333,29016.21999999999
2000-05-28 00:00:00,85,23795.14
2000-05-29 00:00:00,77,13615.0
2000-05-30 00:00:00,758,243922.14
2000-05-31 00:00:00,6135,319392.6299999984
2000-06-01 00:00:00,2416,1312386.3299999996
2000-06-02 00:00:00,1151,198796.40000000002
2000-06-03 00:00:00,339,21838.339999999993
2000-06-04 00:00:00,221,4697.13
2000-06-05 00:00:00,1478,326258.84000000026
2000-06-06 00:00:00,738,191146.12999999995
2000-06-07 00:00:00,1490,179632.30000000005
2000-06-08 00:00:00,453,274956.87000000005
2000-06-09 00:00:00,853,133293.44999999995
2000-06-10 00:00:00,1832,40221.78999999991
2000-06-11 00:00:00,47,8755.01
2000-06-12 00:00:00,537,254836.71000000002
2000-06-13 00:00:00,592,259119.09000000005
2000-06-14 00:00:00,737,195757.40999999997
2000-06-15 00:00:00,3039,241818.22999999995
2000-06-16 00:00:00,1008,277878.9000000002
2000-06-17 00:00:00,378,31896.45999999999
2000-06-18 00:00:00,206,6432.13
2000-06-19 00:00:00,708,264961.48
2000-06-20 00:00:00,1302,399392.00000000023
2000-06-21 00:00:00,1052,424262.66
2000-06-22 00:00:00,890,186426.24000000008
2000-06-23 00:00:00,1004,389053.9300000003
2000-06-24 00:00:00,65,18578.4
2000-06-25 00:00:00,3612,50891.00000000014
2000-06-26 00:00:00,590,407628.13
2000-06-27 00:00:00,889,169114.22
2000-06-28 00:00:00,807,292606.05999999994
2000-06-29 00:00:00,708,299980.5
2000-06-30 00:00:00,6821,668798.5199999983
2000-07-01 00:00:00,422,147409.66
2000-07-02 00:00:00,399,17551.12
2000-07-03 00:00:00,496,94453.35999999997
2000-07-04 00:00:00,28,5575.0
2000-07-05 00:00:00,2109,167383.83999999997
2000-07-06 00:00:00,381,54382.59
2000-07-07 00:00:00,725,1095329.2899999996
2000-07-08 00:00:00,148,10743.64
2000-07-09 00:00:00,33,2022.01
2000-07-10 00:00:00,1797,275948.8599999984
2000-07-11 00:00:00,1380,244626.96000000005
2000-07-12 00:00:00,295,207849.77
2000-07-13 00:00:00,568,238142.91000000006
2000-07-14 00:00:00,1601,176410.65000000002
2000-07-15 00:00:00,2031,61423.109999999964
2000-07-16 00:00:00,388,12651.01
2000-07-17 00:00:00,532,142657.89
2000-07-18 00:00:00,299,212061.99000000002
2000-07-19 00:00:00,821,138763.07999999996
2000-07-20 00:00:00,1518,137281.62000000005
2000-07-21 00:00:00,649,127081.99000000006
2000-07-22 00:00:00,91,8035.0
2000-07-23 00:00:00,36,7447.08
2000-07-24 00:00:00,344,138343.18
2000-07-25 00:00:00,3365,347738.5699999988
2000-07-26 00:00:00,405,96745.66
2000-07-27 00:00:00,1396,110665.8199999999
2000-07-28 00:00:00,920,152086.53000000003
2000-07-29 00:00:00,287,21185.410000000003
2000-07-30 00:00:00,194,45909.07000000001
2000-07-31 00:00:00,5352,589422.4700000042
2000-08-01 00:00:00,1616,209780.3300000001
2000-08-02 00:00:00,262,160407.33000000002
2000-08-03 00:00:00,613,105379.6
2000-08-04 00:00:00,1144,215096.43999999997
2000-08-05 00:00:00,390,32123.17
2000-08-06 00:00:00,30,4475.139999999999
2000-08-07 00:00:00,654,126579.80000000002
2000-08-08 00:00:00,2307,356017.24999999965
2000-08-09 00:00:00,450,226373.19999999998
2000-08-10 00:00:00,1978,309346.8799999995
2000-08-11 00:00:00,563,321969.4000000001
2000-08-12 00:00:00,310,25393.26000000001
2000-08-13 00:00:00,1014,31471.000000000004
2000-08-14 00:00:00,713,363709.12
2000-08-15 00:00:00,3604,278566.3599999999
2000-08-16 00:00:00,848,263867.8700000001
2000-08-17 00:00:00,1153,338487.7700000001
2000-08-18 00:00:00,2011,271119.65
2000-08-19 00:00:00,129,40572.9
2000-08-20 00:00:00,357,32402.34
2000-08-21 00:00:00,699,560328.9199999999
2000-08-22 00:00:00,636,319706.13
2000-08-23 00:00:00,737,427593.1
2000-08-24 00:00:00,534,273733.9
2000-08-25 00:00:00,3273,415392.0899999997
2000-08-26 00:00:00,403,26064.47
2000-08-27 00:00:00,205,5597.0
2000-08-28 00:00:00,793,476429.4799999999
2000-08-29 00:00:00,554,260964.3499999999
2000-08-30 00:00:00,1689,377234.3599999995
2000-08-31 00:00:00,4632,1399455.2299999997
2000-09-01 00:00:00,2945,1528591.5899999987
